symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ICICI PRUDENTIAL DIVIDEND YIELD EQUITY FUND - DIRECT PLAN,INF109KA1UA0,2025-11-03,BSE,MF,,buy,false,81.602000,61.270000,2220806786,2220806786,2025-11-03T00:00:00
NIPPON INDIA INDEX FUND - NIFTY 50 PLAN DIRECT PLAN GROWTH PLAN GROWTH,INF204K01H36,2025-11-03,BSE,MF,,buy,false,84.785000,47.175900,2220765822,2220765822,2025-11-03T00:00:00
KOTAK MIDCAP FUND - DIRECT PLAN - GROWTH,INF174K01LT0,2025-11-06,BSE,MF,,buy,false,15.737000,158.850000,2224713427,2224713427,2025-11-06T00:00:00
QUANTUM GOLD SAVINGS FUND - DIRECT PLAN GROWTH OPTION,INF082J01150,2025-11-10,BSE,MF,,buy,false,10.645000,46.967800,2236033572,2236033572,2025-11-10T00:00:00
MAHINDRA MANULIFE FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174V01AS2,2025-11-11,BSE,MF,,buy,false,56.106000,17.822500,2245585278,2245585278,2025-11-11T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2025-11-11,BSE,MF,,buy,false,10.617000,94.179800,2245584767,2245584767,2025-11-11T00:00:00
KOTAK MIDCAP FUND - DIRECT PLAN - GROWTH,INF174K01LT0,2025-12-01,BSE,MF,,buy,false,18.831000,159.306000,2285876490,2285876490,2025-12-01T00:00:00
MAHINDRA MANULIFE FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174V01AS2,2025-12-01,BSE,MF,,buy,false,110.752000,18.057500,2285880716,2285880716,2025-12-01T00:00:00
NIPPON INDIA INDEX FUND - NIFTY 50 PLAN DIRECT PLAN GROWTH PLAN GROWTH,INF204K01H36,2025-12-01,BSE,MF,,buy,false,62.563000,47.948900,2285894828,2285894828,2025-12-01T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2025-12-01,BSE,MF,,buy,false,21.065000,94.939800,2285878941,2285878941,2025-12-01T00:00:00
ICICI PRUDENTIAL DIVIDEND YIELD EQUITY FUND DIRECT PLAN GROWTH,INF109KA1UA0,2025-12-02,BSE,MF,,buy,false,16.241000,61.570000,2286260146,2286260146,2025-12-02T00:00:00
NIPPON INDIA INDEX FUND - NIFTY 50 PLAN DIRECT PLAN GROWTH PLAN GROWTH,INF204K01H36,2025-12-03,BSE,MF,,buy,false,33.611000,47.601000,2292950089,2292950089,2025-12-03T00:00:00
NIPPON INDIA INDEX FUND - NIFTY 50 PLAN DIRECT PLAN GROWTH PLAN GROWTH,INF204K01H36,2025-12-05,BSE,MF,,buy,false,29.185000,47.967500,2296264094,2296264094,2025-12-05T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN GROWTH,INF879O01027,2025-12-23,BSE,MF,,buy,false,20.979000,95.330500,2342655761,2342655761,2025-12-23T00:00:00
